"Category","country","Date","marijuana","mdma","opioid","prescription","stimulant","buprenorphine","codeine","notMDMA","methadone","pharmaMorphine","oxycodone","tramadol","bud","cocaine","concentrate","edible","fentanyl","hash","heroin","meth","marijuanaMix","streetMorphine","opioidMix","opium","speed","q","p","uniqueID","yesMDMA"
"MARIJUANA","australia","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,79.16059,1,0
"MARIJUANA","australia","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7000,12.1136,2,0
"MARIJUANA","australia","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7000,18.80082,3,0
"MARIJUANA","australia","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7000,17.03232,4,0
"MARIJUANA","canada","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14000,28.67931,5,0
"MARIJUANA","europe","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,16.8025,6,0
"MARIJUANA","europe","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2000,12.46383,7,0
"MARIJUANA","europe","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10000,14.83717,8,0
"MARIJUANA","germany","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000,13.85101,9,0
"MARIJUANA","hungary","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2500,12.7514,10,0
"MARIJUANA","uk","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28000,9.373199,11,0
"MARIJUANA","uk","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7000,17.40708,12,0
"MARIJUANA","uk","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,500,22.2695,13,0
"MARIJUANA","usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14000,15.00553,14,0
"MARIJUANA","usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3500,18.79514,15,0
"MARIJUANA","usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,453592,38.29045,16,0
"MARIJUANA","usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,21.06572,17,0
"MARIJUANA","usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3000,34.89914,18,0
"MARIJUANA","usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28000,6.926594,19,0
"MARIJUANA","usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7000,10.50307,20,0
"MARIJUANA","usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,500,73.2578,21,0
"MARIJUANA","usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000,9.850455,22,0
"MARIJUANA","usa_and_others","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56000,4.987592,23,0
"MARIJUANA","usa_and_others","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56699,10.28855,24,0
"MARIJUANA","usa_and_others","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56699,6.374254,25,0
"MARIJUANA","world_not_usa","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5000,9.31628,26,0
"MARIJUANA","worldwide","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7087,10.29341,27,0
"MARIJUANA","worldwide","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5000,11.3619,28,0
"MARIJUANA","worldwide","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110000,12.56981,29,0
"MARIJUANA","worldwide","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113398,18.60162,30,0
"MARIJUANA","worldwide","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7090,10.72805,31,0
"MARIJUANA","worldwide","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3000,20.27755,32,0
"MARIJUANA","worldwide","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3500,29.54113,33,0
"MARIJUANA","worldwide","2014-11-04",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,11.01889,34,0
"MDMA","australia","2014-11-04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,203.9983,35,1
"MDMA","australia","2014-11-04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,155.7847,36,1
"MDMA","australia","2014-11-04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,197.8219,37,1
"MDMA","europe","2014-11-04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,45.19428,38,1
"MDMA","europe","2014-11-04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,33.01071,39,1
